,Class,Object,Field,Default,Minimum,Maximum,Type,Group
2746,ElectricEquipment,Level0:Zone23 Equipment 1,Design Level,346.2487,307.12259689999996,370.486109,Float,G503
2747,ElectricEquipment,Level0:Zone23 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G504
2748,WaterUse:Equipment,DHW Level0:Zone23,Peak Flow Rate,1.82e-07,1.2412399999999998e-07,2.6663e-07,Float,G505
2761,ZoneInfiltration:DesignFlowRate,Level0:Zone23 Infiltration,Design Flow Rate,0.006578,0.006576328850980242,0.006579671149019757,Float,G228
2767,People,People Level0:Zone4,Number of People,4.9865307,1.0770906312,8.895970768800002,Float,G541
2768,People,People Level0:Zone4,Fraction Radiant,0.3,0.285,0.315,Float,G542
2769,People,People Level0:Zone4,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2770,Lights,Level0:Zone4 General lighting,Lighting Level,898.474,846.362508,979.33666,Float,G543
2771,Lights,Level0:Zone4 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2772,Lights,Level0:Zone4 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2773,Lights,Level0:Zone4 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2774,ElectricEquipment,Level0:Zone4 Equipment 1,Design Level,528.7519,469.0029353,565.764533,Float,G216
2775,ElectricEquipment,Level0:Zone4 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G217
2776,WaterUse:Equipment,DHW Level0:Zone4,Peak Flow Rate,2.77e-07,1.8891400000000002e-07,4.05805e-07,Float,G611
2789,ZoneInfiltration:DesignFlowRate,Level0:Zone4 Infiltration,Design Flow Rate,0.010045,0.010043328850980244,0.010046671149019757,Float,G228
2795,People,People Level0:Zone25,Number of People,2.8240398,0.6099925968000002,5.038087003199999,Float,G500
2796,People,People Level0:Zone25,Fraction Radiant,0.3,0.285,0.315,Float,G501
2797,People,People Level0:Zone25,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2798,Lights,Level0:Zone25 General lighting,Lighting Level,508.836,479.323512,554.63124,Float,G502
2799,Lights,Level0:Zone25 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2800,Lights,Level0:Zone25 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2801,Lights,Level0:Zone25 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2802,ElectricEquipment,Level0:Zone25 Equipment 1,Design Level,299.45,265.61215,320.4115,Float,G503
2803,ElectricEquipment,Level0:Zone25 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G504
2804,WaterUse:Equipment,DHW Level0:Zone25,Peak Flow Rate,1.57e-07,1.07074e-07,2.30005e-07,Float,G505
2817,ZoneInfiltration:DesignFlowRate,Level0:Zone25 Infiltration,Design Flow Rate,0.005689,0.005687328850980242,0.005690671149019757,Float,G228
2823,People,People Level0:Zone38,Number of People,4.6324851,1.0006167815999998,8.2643534184,Float,G500
2824,People,People Level0:Zone38,Fraction Radiant,0.3,0.285,0.315,Float,G501
2825,People,People Level0:Zone38,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2826,Lights,Level0:Zone38 General lighting,Lighting Level,834.682,786.270444,909.8033800000001,Float,G502
2827,Lights,Level0:Zone38 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2828,Lights,Level0:Zone38 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2829,Lights,Level0:Zone38 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2830,ElectricEquipment,Level0:Zone38 Equipment 1,Design Level,491.2104,435.7036248,525.595128,Float,G503
2831,ElectricEquipment,Level0:Zone38 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G504
2832,WaterUse:Equipment,DHW Level0:Zone38,Peak Flow Rate,2.58e-07,1.75956e-07,3.7797000000000004e-07,Float,G505
2845,ZoneInfiltration:DesignFlowRate,Level0:Zone38 Infiltration,Design Flow Rate,0.009066,0.009064328850980243,0.009067671149019756,Float,G228
2851,People,People Level0:Zone26,Number of People,1.668996,0.36050313599999995,2.9774888639999997,Float,G500
2852,People,People Level0:Zone26,Fraction Radiant,0.3,0.285,0.315,Float,G501
